system,test_id,expected_tools,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,all_attempted_calls_success,expected_tool_fulfillment,round_count,attempted_call_count
basic_tool_use,T001,RAGTool,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T002,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T003,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T004,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T005,RAGTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T006,RAGTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T007,RAGTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T008,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T009,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T010,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,1,2
basic_tool_use,T011,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T012,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T013,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,1,2
basic_tool_use,T014,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T015,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T016,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T017,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T018,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,No,No,No,No,Yes,1,4
basic_tool_use,T019,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T020,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T021,CalculatorTool,RAGTool,RAGTool,No,No,Yes,Yes,No,1,1
basic_tool_use,T022,CalculatorTool,MatrixComputationTool,MatrixComputationTool,No,No,No,No,No,1,1
basic_tool_use,T023,CalculatorTool,MatrixComputationTool,MatrixComputationTool,No,No,No,No,No,1,1
basic_tool_use,T024,CalculatorTool,MatrixComputationTool,MatrixComputationTool,No,No,No,No,No,1,1
basic_tool_use,T025,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,1,3
basic_tool_use,T026,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,1,3
basic_tool_use,T027,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,1,3
basic_tool_use,T028,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,1,3
basic_tool_use,T029,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T030,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T031,MatrixComputationTool,RAGTool,RAGTool,No,No,No,No,No,1,1
basic_tool_use,T032,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T033,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T034,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T035,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
