system,test_id,category,expected_tools,selected_tools,exact_tool_selection,required_execution_success,all_attempted_calls_success,workflow_status,final_validation_status,recovery_triggered,recovery_successful,strict_trace_complete,trace_element_ratio,answer_generated,operational_completion,judge_correct,official_end_to_end_success
direct_llm,T001,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T002,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T003,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T004,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T005,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T006,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T007,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T008,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T009,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T010,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T011,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T012,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T013,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T014,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T015,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T016,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T017,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T018,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T019,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T020,conceptual_grounded,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T021,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T022,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T023,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T024,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
