category,category_display,system_name,case_count,mean_round_count,sd_round_count,mean_attempted_call_count,sd_attempted_call_count,initial_selection_accuracy_count,initial_selection_accuracy_pct,initial_selection_accuracy_ci95_lower_pct,initial_selection_accuracy_ci95_upper_pct,final_selection_accuracy_count,final_selection_accuracy_pct,final_selection_accuracy_ci95_lower_pct,final_selection_accuracy_ci95_upper_pct,final_plan_execution_success_count,final_plan_execution_success_pct,final_plan_execution_success_ci95_lower_pct,final_plan_execution_success_ci95_upper_pct,all_attempted_calls_success_count,all_attempted_calls_success_pct,all_attempted_calls_success_ci95_lower_pct,all_attempted_calls_success_ci95_upper_pct,expected_tool_fulfillment_count,expected_tool_fulfillment_pct,expected_tool_fulfillment_ci95_lower_pct,expected_tool_fulfillment_ci95_upper_pct
conceptual_grounded,Conceptual / Grounded,Basic Tool Use,20,1.0,0.0,1.6,0.7539370349250519,10,50.0,29.929800819821228,70.07019918017878,10,50.0,29.929800819821228,70.07019918017878,13,65.0,43.285427668523624,81.88081758989179,13,65.0,43.285427668523624,81.88081758989179,16,80.0,58.39825677481064,91.9342337420202
computation_verification,Computation / Verification,Basic Tool Use,20,1.0,0.0,1.65,0.812727700887249,6,30.0,14.54772448676043,51.89728183535235,6,30.0,14.54772448676043,51.89728183535235,1,5.0,0.8881448800795402,23.613119344674203,1,5.0,0.8881448800795402,23.613119344674203,0,0.0,0.0,16.112515805281937
visual_step_by_step,Visual Step-by-Step,Basic Tool Use,20,1.0,0.0,2.5,0.512989176042577,10,50.0,29.929800819821228,70.07019918017878,10,50.0,29.929800819821228,70.07019918017878,4,20.0,8.065766257979806,41.60174322518937,4,20.0,8.065766257979806,41.60174322518937,0,0.0,0.0,16.112515805281937
code_related,Code-Related,Basic Tool Use,20,1.0,0.0,2.65,0.8750939799154206,4,20.0,8.065766257979806,41.60174322518937,4,20.0,8.065766257979806,41.60174322518937,6,30.0,14.54772448676043,51.89728183535235,6,30.0,14.54772448676043,51.89728183535235,8,40.0,21.880653237281706,61.341849923774696
recovery_personalization_trace,Recovery / Personalization / Trace,Basic Tool Use,20,1.0,0.0,2.2,0.5231483637805969,7,35.0,18.119182410108206,56.714572331476376,7,35.0,18.119182410108206,56.714572331476376,10,50.0,29.929800819821228,70.07019918017878,10,50.0,29.929800819821228,70.07019918017878,7,35.0,18.119182410108206,56.714572331476376
conceptual_grounded,Conceptual / Grounded,Manager Without Recovery,20,2.2,0.5231483637805969,3.3,1.4179302929937965,5,25.0,11.186170140766569,46.8700877618744,5,25.0,11.186170140766569,46.8700877618744,15,75.0,53.1299122381256,88.81382985923342,15,75.0,53.1299122381256,88.81382985923342,17,85.0,63.95811352592431,94.76312541037835
computation_verification,Computation / Verification,Manager Without Recovery,20,2.8,1.1516578439248717,3.4,1.500876936643164,4,20.0,8.065766257979806,41.60174322518937,4,20.0,8.065766257979806,41.60174322518937,18,90.0,69.89663547715128,97.21335187862319,18,90.0,69.89663547715128,97.21335187862319,18,90.0,69.89663547715128,97.21335187862319
visual_step_by_step,Visual Step-by-Step,Manager Without Recovery,20,2.1,0.447213595499958,4.8,1.7350868323485926,10,50.0,29.929800819821228,70.07019918017878,10,50.0,29.929800819821228,70.07019918017878,12,60.0,38.65815007622531,78.1193467627183,12,60.0,38.65815007622531,78.1193467627183,9,45.0,25.81978582556243,65.79146575496577
code_related,Code-Related,Manager Without Recovery,20,2.95,0.8255779474818964,6.75,2.403396719119356,0,0.0,0.0,16.112515805281937,0,0.0,0.0,16.112515805281937,0,0.0,0.0,16.112515805281937,0,0.0,0.0,16.112515805281937,0,0.0,0.0,16.112515805281937
recovery_personalization_trace,Recovery / Personalization / Trace,Manager Without Recovery,20,2.25,0.5501196042201808,4.65,1.460893742308382,1,5.0,0.8881448800795402,23.613119344674203,1,5.0,0.8881448800795402,23.613119344674203,15,75.0,53.1299122381256,88.81382985923342,15,75.0,53.1299122381256,88.81382985923342,10,50.0,29.929800819821228,70.07019918017878
conceptual_grounded,Conceptual / Grounded,Full Manager,20,2.0,0.5619514869490163,3.7,1.949358868961793,6,30.0,14.54772448676043,51.89728183535235,7,35.0,18.119182410108206,56.714572331476376,15,75.0,53.1299122381256,88.81382985923342,15,75.0,53.1299122381256,88.81382985923342,17,85.0,63.95811352592431,94.76312541037835
computation_verification,Computation / Verification,Full Manager,20,2.75,1.164157703189193,3.8,1.6733200530681511,4,20.0,8.065766257979806,41.60174322518937,4,20.0,8.065766257979806,41.60174322518937,17,85.0,63.95811352592431,94.76312541037835,17,85.0,63.95811352592431,94.76312541037835,18,90.0,69.89663547715128,97.21335187862319
visual_step_by_step,Visual Step-by-Step,Full Manager,20,2.2,0.41039134083406165,6.45,1.7312909694943341,11,55.0,34.20853424503424,74.18021417443758,11,55.0,34.20853424503424,74.18021417443758,13,65.0,43.285427668523624,81.88081758989179,13,65.0,43.285427668523624,81.88081758989179,11,55.0,34.20853424503424,74.18021417443758
code_related,Code-Related,Full Manager,20,3.05,0.6863327411532596,8.25,4.203695116392119,0,0.0,0.0,16.112515805281937,0,0.0,0.0,16.112515805281937,16,80.0,58.39825677481064,91.9342337420202,15,75.0,53.1299122381256,88.81382985923342,16,80.0,58.39825677481064,91.9342337420202
recovery_personalization_trace,Recovery / Personalization / Trace,Full Manager,20,2.45,0.5104177855340405,6.9,3.4166773641253156,1,5.0,0.8881448800795402,23.613119344674203,5,25.0,11.186170140766569,46.8700877618744,17,85.0,63.95811352592431,94.76312541037835,17,85.0,63.95811352592431,94.76312541037835,13,65.0,43.285427668523624,81.88081758989179
