category,category_display,system_name,case_count,majority_pass_count,tutoring_accuracy_pct,tutoring_accuracy_ci95_lower_pct,tutoring_accuracy_ci95_upper_pct,end_to_end_success_count,end_to_end_success_rate_pct,end_to_end_ci95_lower_pct,end_to_end_ci95_upper_pct,mean_overall_score,sd_overall_score,mean_score_ci95_lower,mean_score_ci95_upper,mean_correctness,sd_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_judge_score_stdev,unanimous_decision_rate_pct,critical_error_candidate_rate_pct
conceptual_grounded,Conceptual / Grounded,Basic Tool Use,20,19,95.0,76.3868806553258,99.11185511992046,19,95.0,76.3868806553258,99.11185511992046,4.513333333333334,0.39416801119907174,4.343333333333334,4.683333333333333,4.550000000000001,0.5104177855340405,4.683333333333334,4.433333333333334,4.416666666666668,4.483333333333334,0.2769228824547475,85.0,10.0
conceptual_grounded,Conceptual / Grounded,Direct LLM,20,17,85.0,63.95811352592431,94.76312541037835,17,85.0,63.95811352592431,94.76312541037835,4.556666666666667,0.8805301433416878,4.14,4.893499999999998,4.516666666666667,0.9206849725684951,4.583333333333333,4.6499999999999995,4.533333333333333,4.499999999999999,0.13891943675837232,90.0,20.0
conceptual_grounded,Conceptual / Grounded,Full Manager,20,11,55.0,34.20853424503424,74.18021417443758,11,55.0,34.20853424503424,74.18021417443758,3.3866666666666667,1.4406950889002457,2.766583333333333,3.986666666666667,3.45,1.476026751370121,3.416666666666667,3.3333333333333335,3.2833333333333337,3.45,0.5088751653361123,75.0,55.00000000000001
conceptual_grounded,Conceptual / Grounded,Manager Without Recovery,20,9,45.0,25.81978582556243,65.79146575496577,9,45.0,25.81978582556243,65.79146575496577,3.34,1.3827508813954883,2.746666666666667,3.926666666666666,3.416666666666667,1.4260524993821764,3.3833333333333337,3.233333333333333,3.233333333333333,3.4333333333333336,0.36721727020937744,90.0,45.0
computation_verification,Computation / Verification,Basic Tool Use,20,9,45.0,25.81978582556243,65.79146575496577,9,45.0,25.81978582556243,65.79146575496577,3.3466666666666662,1.651453373732978,2.6366666666666667,4.029999999999999,3.3666666666666663,1.740135102639619,3.3666666666666663,3.4,3.2833333333333328,3.3166666666666673,0.2680633437399029,90.0,50.0
computation_verification,Computation / Verification,Direct LLM,20,16,80.0,58.39825677481064,91.9342337420202,16,80.0,58.39825677481064,91.9342337420202,4.413333333333333,1.130046834406971,3.8866666666666676,4.8566666666666665,4.316666666666666,1.2999100283755582,4.466666666666667,4.533333333333333,4.416666666666666,4.333333333333334,0.118240052791419,95.0,20.0
computation_verification,Computation / Verification,Full Manager,20,17,85.0,63.95811352592431,94.76312541037835,17,85.0,63.95811352592431,94.76312541037835,4.62,0.9187074571444739,4.19,4.993333333333333,4.6,0.9769267960867287,4.65,4.666666666666667,4.6,4.583333333333333,0.06353537786834033,100.0,15.0
computation_verification,Computation / Verification,Manager Without Recovery,20,17,85.0,63.95811352592431,94.76312541037835,17,85.0,63.95811352592431,94.76312541037835,4.590000000000001,0.9709885238509735,4.139916666666665,4.976666666666667,4.6,0.9947229183096801,4.583333333333334,4.6,4.566666666666667,4.6,0.034641016151377546,100.0,15.0
visual_step_by_step,Visual Step-by-Step,Basic Tool Use,20,9,45.0,25.81978582556243,65.79146575496577,9,45.0,25.81978582556243,65.79146575496577,3.4666666666666663,1.3103278461238184,2.91,4.029999999999999,3.4333333333333327,1.397993549667623,3.5333333333333328,3.5166666666666666,3.4333333333333327,3.4166666666666665,0.29585061540270374,90.0,50.0
visual_step_by_step,Visual Step-by-Step,Direct LLM,20,10,50.0,29.929800819821228,70.07019918017878,10,50.0,29.929800819821228,70.07019918017878,3.6266666666666665,1.2620228818789163,3.0966666666666667,4.17,3.5333333333333328,1.4363696929192158,3.8,3.7666666666666666,3.516666666666667,3.516666666666667,0.17628671383258648,90.0,50.0
