system_name,test_id,category,category_display,recovery_test,question,expected_tools,majority_pass,pass_count,mean_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_overall_score,stdev_overall_score,any_critical_error,critical_error_count,primary_error_type,observed_error_types,judge_error_occurrence_count,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,expected_tool_fulfillment,final_validation_status,recovery_triggered,recovery_successful
Manager Without Recovery,T003,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between a filter and a feature map.,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Full Manager,T003,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between a filter and a feature map.,RAGTool,False,0,2.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.8666666666666667,0.2309401076758502,True,2,incomplete_answer,incomplete_answer,2,RAGTool,RAGTool,Yes,Yes,Yes,Yes,valid,No,No
Manager Without Recovery,T005,conceptual_grounded,Conceptual / Grounded,No,Explain padding in convolution using simple language.,RAGTool,False,0,2.333333333333333,2.333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.533333333333333,0.808290376865476,True,2,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Full Manager,T005,conceptual_grounded,Conceptual / Grounded,No,Explain padding in convolution using simple language.,RAGTool,False,0,2.6666666666666665,2.333333333333333,2.6666666666666665,2.333333333333333,2.6666666666666665,2.533333333333333,0.5033222956847166,True,1,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T006,conceptual_grounded,Conceptual / Grounded,No,Explain stride in convolution using simple language.,RAGTool,False,1,3.333333333333333,4.666666666666667,4.0,4.0,3.333333333333333,3.8666666666666663,0.4163331998932266,True,1,mixed:calculation_error|factual_error,calculation_error;factual_error,2,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,,,
Manager Without Recovery,T006,conceptual_grounded,Conceptual / Grounded,No,Explain stride in convolution using simple language.,RAGTool,False,0,3.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,2.8,0.7211102550927978,True,1,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Full Manager,T006,conceptual_grounded,Conceptual / Grounded,No,Explain stride in convolution using simple language.,RAGTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.5773502691896257,True,2,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Full Manager,T007,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between padding and stride.,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T007,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between padding and stride.,RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T008,conceptual_grounded,Conceptual / Grounded,No,What does valid convolution mean?,RAGTool,True,2,4.333333333333333,4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,4.066666666666666,0.923760430703401,True,1,calculation_error,calculation_error,1,RAGTool,RAGTool,Yes,Yes,Yes,Yes,,,
Direct LLM,T008,conceptual_grounded,Conceptual / Grounded,No,What does valid convolution mean?,RAGTool,False,1,3.333333333333333,4.0,4.0,3.333333333333333,3.0,3.533333333333333,0.4163331998932265,True,2,factual_error,factual_error,2,,,,,,,,,
Full Manager,T009,conceptual_grounded,Conceptual / Grounded,No,What does same convolution mean?,RAGTool,True,2,4.0,4.0,3.6666666666666665,3.6666666666666665,4.0,3.8666666666666663,0.8082903768654759,False,0,none,,0,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T010,conceptual_grounded,Conceptual / Grounded,No,Explain why a convolution kernel slides over an input matrix.,RAGTool,False,1,4.0,4.0,3.333333333333333,3.333333333333333,4.0,3.733333333333333,0.8082903768654759,False,0,none,,0,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Direct LLM,T011,conceptual_grounded,Conceptual / Grounded,No,Explain matrix multiplication in simple terms.,RAGTool,False,0,2.333333333333333,2.333333333333333,3.333333333333333,2.333333333333333,2.333333333333333,2.5333333333333337,0.5773502691896257,True,3,factual_error,factual_error,3,,,,,,,,,
Direct LLM,T012,conceptual_grounded,Conceptual / Grounded,No,What is a row-by-column dot product?,RAGTool,True,2,4.0,4.0,4.333333333333333,4.0,4.0,4.066666666666666,0.9018499505645788,True,1,factual_error,factual_error,1,,,,,,,,,
Manager Without Recovery,T012,conceptual_grounded,Conceptual / Grounded,No,What is a row-by-column dot product?,RAGTool,False,0,3.0,3.0,2.333333333333333,2.333333333333333,3.0,2.7333333333333334,0.2309401076758502,False,0,incomplete_answer,incomplete_answer,1,MatrixComputationTool,MatrixComputationTool,No,No,Yes,No,valid,No,No
Full Manager,T012,conceptual_grounded,Conceptual / Grounded,No,What is a row-by-column dot product?,RAGTool,True,2,4.0,4.0,3.0,3.0,4.0,3.6,1.4,True,1,incomplete_answer,incomplete_answer,1,MatrixComputationTool,MatrixComputationTool,No,No,Yes,No,valid,No,No
Manager Without Recovery,T014,conceptual_grounded,Conceptual / Grounded,No,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T014,conceptual_grounded,Conceptual / Grounded,No,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,MatrixComputationTool;RAGTool,RAGTool,No,Yes,No,No,invalid,Yes,No
Basic Tool Use,T014,conceptual_grounded,Conceptual / Grounded,No,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,True,2,4.0,4.0,3.6666666666666665,4.0,3.6666666666666665,3.8666666666666663,0.2309401076758502,False,0,none,,0,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Full Manager,T015,conceptual_grounded,Conceptual / Grounded,No,Explain why matrix dimensions matter in matrix multiplication.,RAGTool,True,2,4.333333333333333,4.333333333333333,4.0,4.0,4.333333333333333,4.2,1.058300524425836,True,1,incomplete_answer,incomplete_answer,1,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T016,conceptual_grounded,Conceptual / Grounded,No,What is the role of grounding in an AI tutoring answer?,RAGTool,False,0,2.0,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.8,0.3464101615137755,True,3,mixed:incomplete_answer|irrelevant_answer|non_answer,incomplete_answer;irrelevant_answer;non_answer,3,RAGTool,RAGTool,Yes,Yes,No,Yes,valid,No,No
Full Manager,T016,conceptual_grounded,Conceptual / Grounded,No,What is the role of grounding in an AI tutoring answer?,RAGTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,irrelevant_answer;non_answer,3,RAGTool,RAGTool,Yes,Yes,No,Yes,valid,Yes,No
Full Manager,T017,conceptual_grounded,Conceptual / Grounded,No,Explain why tool use can improve tutoring explanations.,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,True,3,mixed:incomplete_answer|irrelevant_answer|non_answer,incomplete_answer;irrelevant_answer;non_answer,3,RAGTool,RAGTool,Yes,Yes,Yes,Yes,valid,No,No
Manager Without Recovery,T017,conceptual_grounded,Conceptual / Grounded,No,Explain why tool use can improve tutoring explanations.,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,irrelevant_answer,irrelevant_answer;non_answer,3,RAGTool,RAGTool,Yes,Yes,Yes,Yes,valid,No,No
Manager Without Recovery,T018,conceptual_grounded,Conceptual / Grounded,No,Explain what a visual matrix example helps a learner understand.,RAGTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,non_answer,3,RAGTool,RAGTool,Yes,Yes,No,No,invalid,No,No
