system,system_display,metric,numerator,denominator,rate,percentage,applicability,status,definition
direct_llm,Direct LLM,Operational Answer Completion Rate,100,100,1.0,100.0,Diagnostic,Calculated,Provider-valid case with a non-empty final answer. This is not semantic correctness.
direct_llm,Direct LLM,Tool Call Success Rate,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,Tool Selection Accuracy,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,Execution Success Rate,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,Validation Pass Rate,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,Recovery Success Rate,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,Trace Completeness,,,,,N/A,Not applicable,This condition does not implement this mechanism.
direct_llm,Direct LLM,End-to-End Success Rate,,,,,Pending,Pending GPT judge,Operational completion combined with semantically correct final answer. Calculated after judging.
direct_llm,Direct LLM,Tutoring Answer Accuracy,,,,,Pending,Pending GPT judge,Semantically correct tutoring answers under the fixed judge rubric and three-run aggregation.
basic_tool_use,Basic Tool Use,Operational Answer Completion Rate,100,100,1.0,100.0,Diagnostic,Calculated,Provider-valid case with a non-empty final answer. This is not semantic correctness.
basic_tool_use,Basic Tool Use,Tool Call Success Rate,134,212,0.632075,63.21,Applicable,Calculated,Successful individual tool calls divided by all attempted tool calls.
basic_tool_use,Basic Tool Use,Tool Selection Accuracy,37,100,0.37,37.0,Applicable,Calculated,Cases where the selected tool set exactly matches the expected tool set.
basic_tool_use,Basic Tool Use,Execution Success Rate,31,100,0.31,31.0,Applicable,Calculated,Tool-requiring cases where every expected tool produced at least one successful call.
basic_tool_use,Basic Tool Use,All Attempted Calls Successful Case Rate,34,100,0.34,34.0,Supplementary,Calculated,"Cases where every attempted tool call succeeded, including extra selected tools."
basic_tool_use,Basic Tool Use,Validation Pass Rate,,,,,N/A,Not applicable,The Basic baseline performs no output validation.
basic_tool_use,Basic Tool Use,Trace Completeness,,,,,N/A,Not applicable,The Basic baseline has no centralized lifecycle trace.
basic_tool_use,Basic Tool Use,Recovery Success Rate,,,,,N/A,Not applicable,Recovery is absent or explicitly disabled in this condition.
basic_tool_use,Basic Tool Use,End-to-End Success Rate,,,,,Pending,Pending GPT judge,Operational completion combined with semantically correct final answer. Calculated after judging.
basic_tool_use,Basic Tool Use,Tutoring Answer Accuracy,,,,,Pending,Pending GPT judge,Semantically correct tutoring answers under the fixed judge rubric and three-run aggregation.
manager_without_recovery,Manager Without Recovery,Operational Answer Completion Rate,100,100,1.0,100.0,Diagnostic,Calculated,Provider-valid case with a non-empty final answer. This is not semantic correctness.
manager_without_recovery,Manager Without Recovery,Tool Call Success Rate,388,458,0.847162,84.72,Applicable,Calculated,Successful individual tool calls divided by all attempted tool calls.
manager_without_recovery,Manager Without Recovery,Tool Selection Accuracy,20,100,0.2,20.0,Applicable,Calculated,Cases where the selected tool set exactly matches the expected tool set.
manager_without_recovery,Manager Without Recovery,Execution Success Rate,54,100,0.54,54.0,Applicable,Calculated,Tool-requiring cases where every expected tool produced at least one successful call.
manager_without_recovery,Manager Without Recovery,All Attempted Calls Successful Case Rate,60,100,0.6,60.0,Supplementary,Calculated,"Cases where every attempted tool call succeeded, including extra selected tools."
manager_without_recovery,Manager Without Recovery,Validation Pass Rate,167,246,0.678862,67.89,Applicable,Calculated,Passed attempt-level validation reports divided by all outputs subjected to validation.
manager_without_recovery,Manager Without Recovery,Trace Completeness,2706,2706,1.0,100.0,Applicable,Calculated,Populated required lifecycle trace elements divided by all expected trace elements.
manager_without_recovery,Manager Without Recovery,Strict Complete-Trace Rate,246,246,1.0,100.0,Supplementary,Calculated,Round traces containing every required lifecycle element.
manager_without_recovery,Manager Without Recovery,Recovery Success Rate,,,,,N/A,Not applicable,Recovery is absent or explicitly disabled in this condition.
manager_without_recovery,Manager Without Recovery,End-to-End Success Rate,,,,,Pending,Pending GPT judge,Operational completion combined with semantically correct final answer. Calculated after judging.
manager_without_recovery,Manager Without Recovery,Tutoring Answer Accuracy,,,,,Pending,Pending GPT judge,Semantically correct tutoring answers under the fixed judge rubric and three-run aggregation.
full_manager,Full Manager,Operational Answer Completion Rate,100,100,1.0,100.0,Diagnostic,Calculated,Provider-valid case with a non-empty final answer. This is not semantic correctness.
full_manager,Full Manager,Tool Call Success Rate,475,582,0.816151,81.62,Applicable,Calculated,Successful individual tool calls divided by all attempted tool calls.
full_manager,Full Manager,Tool Selection Accuracy,22,100,0.22,22.0,Applicable,Calculated,Cases where the selected tool set exactly matches the expected tool set.
full_manager,Full Manager,Execution Success Rate,76,100,0.76,76.0,Applicable,Calculated,Tool-requiring cases where every expected tool produced at least one successful call.
full_manager,Full Manager,All Attempted Calls Successful Case Rate,77,100,0.77,77.0,Supplementary,Calculated,"Cases where every attempted tool call succeeded, including extra selected tools."
full_manager,Full Manager,Validation Pass Rate,216,328,0.658537,65.85,Applicable,Calculated,Passed attempt-level validation reports divided by all outputs subjected to validation.
full_manager,Full Manager,Trace Completeness,2739,2739,1.0,100.0,Applicable,Calculated,Populated required lifecycle trace elements divided by all expected trace elements.
